20798749,WOLVERLEY,Zimbabwe,29.1,18.51,1180
23768497,MKWASINE MAIN OFFICE,Zimbabwe,31.88,20.83,460
14783809,SHAPI,Zimbabwe,26.6,18.86,1060
23772794,MARAH RANCH,Zimbabwe,31.36,19.95,1120
14799529,HWANGE  MAIN CAMP,Zimbabwe,26.95,18.73,1080
23773792,GLENCLOVA,Zimbabwe,31.43,19.96,1220
23774387,PAMUSHANA MISSION,Zimbabwe,31.51,20.01,1190
24774741,CHIKORE MISSION,Zimbabwe,32.51,20.45,1030
15771097,MAITENGWE,Zimbabwe,26.1,19.91,1020
15771197,MASILI DAM,Zimbabwe,26.1,19.91,1030
15773943,GUNGWE RANCH,Zimbabwe,27.36,20.41,1400
15769476,INGWEZI DAM,Zimbabwe,27.9,21.01,1040
15778422,WEST DAM,Zimbabwe,27.81,20.6,1270
20798796,NYAROPAKWE,Zimbabwe,29.08,18.1,910
15778502,EMBAKWE MISSION,Zimbabwe,27.8,20.76,1138
15774455,MALALUME,Zimbabwe,27.41,20.3,1220
15774572,MADHLAMBUSI,Zimbabwe,27.43,20.15,1140
15778601,MANIFEST,Zimbabwe,27.83,20.8,1140
23774598,MUNGEZI,Zimbabwe,31.51,19.91,1080
23774758,NYAGAMBO,Zimbabwe,31.53,20.26,800
15778825,ZINYAMA(Farm180),Zimbabwe,27.85,20.58,1300
24776167,CHIPINGE,Zimbabwe,32.61,20.2,1130
15774793,KAMI,Zimbabwe,27.45,19.96,1110
20798849,CHEMAGORA,Zimbabwe,29.11,18.51,1190
15775141,HUNGERFORD,Zimbabwe,27.5,20.43,1250
23774854,CHINYABAKO,Zimbabwe,31.55,20.3,760
15778921,ZINYAMA,Zimbabwe,27.85,20.61,1260
23775558,SIYA DAM,Zimbabwe,31.61,20.26,720
24776328,GWENZI,Zimbabwe,32.63,20.55,840
23775559,SIYA DAM (Old Site),Zimbabwe,31.61,20.26,720
23775562,HUZI STORE,Zimbabwe,31.61,20.26,760
