62,SOILX1,Temp  soil05 max,Temperature  soil  daily maximum at 5 cm,0.10,,,Degrees C,daily
63,SOILN1,Temp  soil05 min,Temperature  soil  daily minimum at 5 cm,0.10,,,Degrees C,daily
64,SOILX2,Temp  soil10 max,Temperature  soil  daily maximum at 10 cm,0.10,,,Degrees C,daily
65,SOILN2,Temp  soil10 min,Temperature  soil  daily minimum at 10 cm,0.10,,,Degrees C,daily
66,SOILX3,Temp  soil20 max,Temperature  soil  daily maximum at 20 cm,0.10,,,Degrees C,daily
67,SOILN3,Temp  soil20 min,Temperature  soil  daily minimum at 20 cm,0.10,,,Degrees C,daily
68,SOILX4,Temp  soil50 max,Temperature  soil  daily maximum at 50 cm,0.10,,,Degrees C,daily
69,SOILN4,Temp  soil50 min,Temperature  soil  daily minimum at 50 cm,0.10,,,Degrees C,daily
70,SOILX5,Temp  soil1M max,Temperature  soil  daily maximum at 100 cm,0.10,,,Degrees C,daily
71,SOILN5,Temp  soil1M min,Temperature  soil  daily minimum at 100 cm,0.10,,,Degrees C,daily
72,SOIL05,Temp  soil05 dly,Temperature  soil  daily at 5 cm,0.10,,,Degrees C,daily
73,SOIL10,Temp  soil10 dly,Temperature  soil  daily at 10 cm,0.10,,,Degrees C,daily
74,SOIL20,Temp  soil20 dly,Temperature  soil  daily at 20 cm,0.10,,,Degrees C,daily
75,SOIL50,Temp  soil50 dly,Temperature  soil  daily at 50 cm,0.10,440,-50,Degrees C,daily
76,SOIL1M,Temp  soil1m dly,Temperature  soil  daily at 100 cm,0.10,440,100,Degrees C,daily
77,SOIL6,Temp  soil2M dly,Temperature  soil  daily at 150 cm,0.10,440,-50,Degrees C,daily
78,SOIL7,Temp  soil3M dly,Temperature  soil  daily at 200 cm,0.10,,,Degrees C,daily
79,SOIL8,Temp  soil4M dly,Temperature  soil  daily at 300 cm,0.10,,,Degrees C,daily
80,MXSOIL,Temp soil dly ma,Temperature  soil  daily maximum,0.10,,,Degrees C,daily
81,MNSOIL,Temp soil dly mi,Temperature  soil  daily minimum,0.10,350,-100,Degrees C,daily
82,DSOIL,Temp  soil daily,Temperature  soil  daily,0.10,,,Degrees C,daily
83,STRMFL,Stream Flow,Stream flow  Daily mean,1.00,,,Meters**3/Second,daily
84,SUNSHN,Sunshine  Daily,Sunshine  Daily total amount,0.10,135,0,Minutes,daily
85,GRSMIN,Grasss Min  Temp,Grass Minimum Temperature at 06Z,0.10,360,-100,Degrees C,daily
86,LLDD,Lightning  direction daily,Lightning  direction daily,1.00,,,coded,daily
87,HHHD(Updated),Hail  size  daily(updated),Hail  size  daily(updated),1.00,,,coded,daily
91,24hVPD,24hour VPD,Mean Vapour Pressure Deficit over 24 hours,0.10,,,Hectopascals,daily
92,24hWB,24hour Wetbulb,Mean Wetbulb temperature over 24 hours,0.10,,,Degrees C,daily
93,PSTWX,24 Hr past wx,24 Hour past weather,1.00,9,0,Coded,daily
94,MXMNDIFF,Max Min Diff,24 Hr Temperature range,0.10,,,Degrees C,daily
95,PrInTi,PrecIntens Time,Number of minutes for the classified amounts of rain,1.00,,,Minutes,daily
96,JardIn,PrecIntens Jardi,Jardi Rainfall Intensity,1.00,,,Millimeters,daily
97,DifRad,Diff Radiation,Diffuse Radiation measured by Moll-Kipp Solarimeter,0.10,,,Megajoules/M**2,daily
98,WINDTOT20,Wind Totalizer  18Z,Wind Totalizer at 18Z,0.10,999999,0,Km,daily
99,WINDRUN08,Wind Totalizer  06Z,Wind Totalizer at 06Z,0.10,999999,0,Km,daily
101,TEMPDB,Temp  dry bulb,Temperature  dry bulb,0.10,464,-150,Degrees C,hourly
102,TEMPWB,Temp  wet bulb,Temperature  wet bulb,0.10,350,-100,Degrees C,hourly
103,TEMPDP,Temp  dew point,Temperature  dew point,0.10,350,-260,Degrees C,hourly
104,PRECIP,Precip  hourly,Precipitation  total hourly,0.10,1000,0,Millimeters,hourly
105,RELHUM,Relative Humidty,Relative humidity at 06Z,1.00,100,0,Percent,hourly
106,PRESST,Pressure  stn,Pressure  station,0.10,155050,7000,Hectopascals,hourly
107,PRESSL,Pressure  sea lv,Pressure  sea level,1.00,1505050,8000,Hectopascals,hourly
108,ALTMTR,Altimeter Settng,Altimeter setting,0.10,,,Millibars,hourly
109,CEIL,Ceiling,Ceiling,1.00,,,Coded,hourly
110,VISBY,Visibility,Visibility  horizontal,0.10,,0,Coded,hourly
111,WNDSPD,Wind Speed,Wind speed,1.00,300,0,Knots,hourly
112,WNDDIR,Wind Direction,Wind direction,0.10,3600,0,Degrees C,hourly
113,WNDMIL,Wind mileage hly,Wind mileage  hourly,1.00,,,Kilometers,hourly
114,CLDTOT,Cloud cover  tot,Cloud cover  total,1.00,8,0,Octas,hourly
115,CLDOPC,Cloud opacty tot,Cloud opacity  total,1.00,,,Octas,hourly
116,CLDAM1,Cloud amt  lvl 1,Cloud  amount of the lowest layer,1.00,8,0,Octas,hourly
117,CLDTY1,Cloud typ  lvl 1,Cloud  type of the lowest layer,1.00,,,Coded,hourly
118,CLDHT1,Cloud ht  lvl 1,Cloud  height of the lowest layer,1.00,,,Coded,hourly
119,CLDOP1,Cloud opcy  lvl1,Cloud  opacity of the lowest layer,1.00,,,Octas,hourly
120,CLDAM2,Cloud amt  lvl 2,Cloud  amount of the second layer,1.00,8,0,Octas,hourly
121,CLDTY2,Cloud typ  lvl 2,Cloud  type of the second layer,1.00,9,0,Coded,hourly
122,CLDHT2,Cloud ht  lvl 2,Cloud  height of the second layer,1.00,,,Coded,hourly
123,CLDOP2,Cloud opcy  lvl2,Cloud  opacity of the second layer,1.00,,,Octas,hourly
124,CLDAM3,Cloud amt  lvl 3,Cloud  amount of the third layer,1.00,8,0,Octas,hourly
125,CLDTY3,Cloud typ  lvl 3,Cloud  type of the third layer,1.00,9,0,Coded,hourly
126,CLDHT3,Cloud ht  lvl 3,Cloud  height of the third layer,1.00,,,Coded,hourly
127,CLDOP3,Cloud opcy  lvl3,Cloud  opacity of the third layer,1.00,,,Octas,hourly
128,CLDAM4,Cloud amt  lvl 4,Cloud  amount of the fourth layer,1.00,,,Octas,hourly
129,CLDTY4,Cloud typ  lvl 4,Cloud  type of the fourth layer,1.00,,,Coded,hourly
130,CLDHT4,Cloud ht  lvl 4,Cloud  height of the fourth layer,1.00,,,Coded,hourly
131,CLDAP4,Cloud opcy  lvl4,Cloud  opacity of the fourth layer,1.00,,,Octas,hourly
132,SUN,Sunshine,Sunshine  total hourly,1.00,,,Minutes,hourly
